['SN2024abfo', 'host', np.float64(170.3513536499999), np.float64(-46.18546263), '']
['SN2024abfo', 'host', np.float64(170.3513536499999), np.float64(-46.18546263), '']
['SN2024abfo', 'host', np.float64(170.3513536499999), np.float64(-46.18546263), '']
['SN2024abfo', 'host', np.float64(170.3513536499999), np.float64(-46.18546263), '']
['SN2024abfo', 'host', np.float64(170.3513536499999), np.float64(-46.18546263), '']
['SN2024abfo', 'host', np.float64(170.3513536499999), np.float64(-46.18546263), '']
['SN2024abfo', 'host', np.float64(170.3513536499999), np.float64(-46.18546263), '']
['SN2024abfo', 'host', np.float64(170.3513536499999), np.float64(-46.18546263), '']
['SN2024abfo', 'host', np.float64(170.3513536499999), np.float64(-46.18546263), '']
['SN2024ablg', 'host', np.float64(210.6143699999998), np.float64(-51.411331), '']
['SN2024ablg', 'host', np.float64(210.6143699999998), np.float64(-51.411331), '']
['SN2024ablg', 'host', np.float64(210.6143699999998), np.float64(-51.411331), '']
['SN2024abnh', 'host', np.float64(302.9868749999988), np.float64(12.854219), '']
['SN2024abup', 'host', np.float64(49.45750499999997), np.float64(-10.424289), '']
['SN2024abup', 'host', np.float64(49.45750499999997), np.float64(-10.424289), '']
['SN2024abup', 'host', np.float64(49.45750499999997), np.float64(-10.424289), '']
['SN2024abup', 'host', np.float64(49.45750499999997), np.float64(-10.424289), '']
['SN2024abvb', 'host', np.float64(266.09688), np.float64(-5.735572), '']
['SN2024abvb', 'host', np.float64(266.09688), np.float64(-5.735572), '']
['SN2024abvb', 'host', np.float64(266.09688), np.float64(-5.735572), '']
['SN2024acsd', 'host', np.float64(1.2814184999997733), np.float64(23.75009298), '']
['SN2024acsd', 'host', np.float64(1.2814184999997733), np.float64(23.75009298), '']
['SN2024adec', 'host', np.float64(33.56420399999961), np.float64(77.17411723), '']
['SN2024adec', 'host', np.float64(33.56420399999961), np.float64(77.17411723), '']
['SN2024adhq', 'host', np.float64(266.063745), np.float64(42.201519), '']
['SN2024adhq', 'host', np.float64(266.063745), np.float64(42.201519), '']
['SN2024adml', 'host', np.float64(130.03000499999953), np.float64(-2.434761), '']
['SN2024adml', 'host', np.float64(130.03000499999953), np.float64(-2.434761), '']
['SN2024adml', 'host', np.float64(130.03000499999953), np.float64(-2.434761), '']
['SN2024admm', 'host', np.float64(90.42499499999994), np.float64(-5.175039), '']
